codigo_comuna,nombre_comuna,grd_total,grd_chilean,grd_foreign,grd_pct_foreign,grd_mean_los,grd_mean_los_chilean,grd_mean_los_foreign,grd_mean_severity,grd_mortality_rate,grd_top3_chapters,grd_rate_per_10k
13402,Buin,15457,14669,788,5.1,5.576291079812207,5.603302373581012,5.086142322097379,1.488645920941968,2.95658924759008,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1321.4612418675033
13115,Lo Barnechea,6883,6204,679,9.86,5.166742081447964,5.2396094141211815,4.483568075117371,1.4259770448932152,1.7724829289553898,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",611.1703072278458
13128,Renca,25748,24002,1746,6.78,6.392185065324224,6.495590034120904,4.999132697311362,1.4646962870902591,3.0681994718036303,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1792.7615546364764
13104,Conchalí,10561,9346,1215,0.1150459236814695,6.366631947732222,6.6164134389043445,4.445267489711934,1.429504781744153,0.0368336331786762,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",868.596149259378
13126,Quinta Normal,14588,11624,2964,0.2031806964628461,6.291952289553057,6.686682725395733,4.743927125506073,1.4528379489991774,0.0331779544831368,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1127.784091348347
13404,Paine,11428,10437,991,8.67,5.57,5.66,4.65,1.46,3.01,Cálculo de la vesícula biliar sin colecistitis | Apendicitis aguda | otra y no especificada | Catarata | no especificada,1570.66
13123,Providencia,10505,9451,1054,10.03,5.85,5.92,5.19,1.43,2.93,Catarata | no especificada | Cálculo de la vesícula biliar sin colecistitis | Apendicitis aguda | otra y no especificada,665.93
13130,San Miguel,13853,11077,2776,20.04,6.37,6.74,4.91,1.59,3.35,Catarata | no especificada | Apendicitis aguda | otra y no especificada | Fractura del cuello de fémur | cerrada,1283.23
13114,LAS CONDES,10656,9651,1005,9.43,5.92,6.13,3.79,1.43,2.93,Cap.02  NEOPLASIAS (C00-D49) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95),359.84
13503,CURACAVÍ,5216,5064,152,2.91,6.49,6.54,4.82,1.4,2.93,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88),1483.29
5101,Valparaíso,24180,22541,1639,6.78,5.6,5.7,4.9,1.92,2.84,Embarazo y parto | Enfermedades circulatorias | Enfermedades digestivas,848.61
5102,Casablanca,2134,1963,171,8.01,4.8,4.9,4.1,1.78,2.15,Embarazo y parto | Enfermedades digestivas | Enfermedades respiratorias,714.29
13117,Lo Prado,6169,5596,573,9.288377370724591,5.955584373480304,6.083631165117941,4.705061082024433,1.383803959753327,3.0637056248986867,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",675.7585715850587
13124,Pudahuel,10910,10189,721,6.608615948670944,6.026122823098075,6.160761605653155,4.123439667128988,1.483220245736292,2.722273143904675,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",478.8868404881046
13101,Santiago,54929,35664,19265,35.072548198583625,6.682745162708883,7.682128988688165,4.817207689883391,1.6154854448469842,2.799978153616487,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",94607.302790217
